title,author,source,description,content,pub_date,url,photo_url
Wildfire threat sparks seed-collection projects to reforest charred hillsides,Frank Miles,Fox News,"With warmer temperatures, an increase in the frequency of drought and the severity of wildfires on the rise, many scientists say the necessity of seed collection and reforestation efforts has become more urgent.","With warmer temperatures, an increase in the frequency of drought and the severity of wildfires on the rise, many scientists say the necessity of seed collection and reforestation efforts has become more urgent.
“We’ve had so many large, high-severity fires … [+2532 chars]",2019-10-28,https://www.foxnews.com/science/wildfires-seeds-pine-cones-collected-reforest-hillsides,https://static.foxnews.com/foxnews.com/content/uploads/2019/10/Pine-Cone-Collectors-5.jpg
"180,000 evacuated as wildfire and electricity blackout hits California wine country",Nick Allen,Yahoo.com,"A total of 180,000 people have been ordered to evacuate from a huge swath of northern California's wine country as the state was hit by a destructive wildfire and the biggest electricity black out in its history. The Kinkade fire covered an area of 40 square …","Firefighters in California wine country - REUTERS
A total of 180,000 people have been ordered to evacuate from a huge swath of northern California's wine country as the state was hit by a destructive wildfire and the biggest electricity black out in its hist… [+3328 chars]",2019-10-27,https://news.yahoo.com/180-000-evacuated-wildfire-electricity-230710941.html,https://s.yimg.com/ny/api/res/1.2/ORdnHb66Rwxgu5LN__flog--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04MDA-/https://s.yimg.com/uu/api/res/1.2/RsQUejwrFOIgTEKvoRiOgg--~B/aD0xNTYzO3c9MjUwMTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en-GB/the_telegraph_258/c4c4af3304b65549174a03cd95417c62
"Residents flee, power cut as crews battle California fire",DON THOMPSON,Yahoo.com,"Cody Rodriguez never went to sleep the night two years ago when wildfire roared out of tinder-dry hills in Northern California wine country, trapping people unaware in their homes and forcing thousands of panicked residents to flee in the dark. ""It has brough…","PETALUMA, Calif. (AP) Cody Rodriguez never went to sleep the night two years ago when wildfire roared out of tinder-dry hills in Northern California wine country, trapping people unaware in their homes and forcing thousands of panicked residents to flee in th… [+4353 chars]",2019-10-28,https://news.yahoo.com/residents-flee-power-cut-crews-053416417.html,https://s.yimg.com/ny/api/res/1.2/y6tRH5OlxlCyClz4GLUUAQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD05OTguNA--/https://s.yimg.com/uu/api/res/1.2/LJrNzR5iK5Pm1oS6JNcOGg--~B/aD0yNjQ1O3c9MzM5MDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/99581fb3c4aebaca4c809a3604b81d2f
California wildfires: Millions warned of possible power cut,https://www.facebook.com/bbcnews,BBC News,"An electricity firm says it may have to cut power amid forecasts of a ""historic wind event"".","Media captionJets drop fire retardant on California blaze
Millions of Californians face having their power cut as firefighters continue to battle a surge in wildfires in the state.
Pacific Gas &amp; Electric (PG&amp;E) said it may have to turn off power in … [+5217 chars]",2019-10-26,https://www.bbc.co.uk/news/world-us-canada-50191237,https://ichef.bbci.co.uk/images/ic/1024x576/p07s0flx.jpg
Firefighters battle N. Calif. wine country blaze,"AP Domestic, AP",USA Today,"Firefighters continue to attack a massive wildfire burning in northern California wine country ahead of another major wind event. The blaze has grown to at least 103 square miles, destroying 96 buildings and threatening 80,000 more structures. (Oct. 28)",,2019-10-29,https://www.usatoday.com/videos/news/nation/2019/10/29/firefighters-battle-n-calif-wine-country-blaze/2492525001/,https://www.gannett-cdn.com/authoring/video-thumbnails/495ffe29-19bc-4a6d-a6e2-8b48d66b9807_poster.jpg
2.35 Million Lose Power In California As State Faces Extreme Weather and Wildfires,EditorDavid,Slashdot.org,"California's largest power utility began power shut-offs today for an estimated 2.35 million people -- expected to last two days -- after weather forecasts predicted extreme fire danger due to exceptionally dry weather and severe winds, according to the Washi…","California's largest power utility began power shut-offs today for an estimated 2.35 million people -- expected to last two days -- after weather forecasts predicted extreme fire danger due to exceptionally dry weather and severe winds, according to the Washi… [+1063 chars]",2019-10-27,https://news.slashdot.org/story/19/10/27/0251234/235-million-lose-power-in-california-as-state-faces-extreme-weather-and-wildfires,https://a.fsdn.com/sd/topics/earth_64.png
Wildfire Victims Don't Have Cell Service Thanks to Greedy Telecoms,"Karl Bode, Emanuel Maiberg",Vice News,Letting cheapskate corporations dictate government policy doesn’t end well for disaster victims—or anybody else.,"The California wildfires and PG&amp;Es incompetence are having a terrifying impact on the residents of California, who face not only immense risk to life and property, but a growing number of power and telecom-related outages that make a bad problem worse. 
… [+5548 chars]",2019-10-29,https://www.vice.com/en_us/article/ywa4p5/wildfire-victims-dont-have-cell-service-thanks-to-greedy-telecoms,"https://video-images.vice.com/articles/5db88589d8e59700927334de/lede/1572374377351-GettyImages-591911482.jpeg?crop=1xw:0.84375xh;center,center&resize=1200:*"
Getty fire in Los Angeles burns hundreds of acres - CBS News,,Youtube.com,"Getty fire in Los Angeles burns hundreds of acres CBS News Getty Fire Burns 618 Acres, Destroys Multiple Homes After Erupting in Sepulveda Pass KTLA Los Angeles Getty Fire updates: Blaze burns along 405 Freeway near Getty Center, destroys homes in LA KABC-TV …","A dangerous wildfire broke out overnight in Los Angeles. The Getty fire is threatening thousands of homes in the evacuation zone. CBS News correspondent Chris Martinez joined CBSN from the 405 freeway in Los Angeles with the latest.
Subscribe to the CBS News… [+1112 chars]",2019-10-28,https://www.youtube.com/watch?v=IhXuVGEhp4A,https://i.ytimg.com/vi/IhXuVGEhp4A/maxresdefault.jpg
Evacuation information and road closures due to Kincade Fire in Sonoma County - SFGate,Katie Dowd,Sfgate.com,Evacuation information and road closures due to Kincade Fire in Sonoma County SFGate Kincade Fire Update: Evacuation warnings expanded to include Santa Rosa KFSN-TV Kincade Fire: Most of West County Now Under Mandatory Evacuation KSRO 'You Cannot Fight This';…,"<ul><li>A back fire set by fire fighters burns a hillside near PG&amp;E power lines during firefighting operations to battle the Kincade Fire in Healdsburg, California on October 26, 2019. - US officials on October 26 ordered about 50,000 people to evacuate p… [+3732 chars]",2019-10-27,https://www.sfgate.com/california-wildfires/article/Evacuation-information-and-road-closures-sonoma-14565878.php,https://s.hdnux.com/photos/01/06/46/74/18509586/3/rawImage.jpg
The Latest: Wildfire in California wine country grows,,Yahoo.com,A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames. California Department of Forestry and Fire Protection officials said Tuesday that the fire in Sonoma County north of San …,"SANTA ROSA, Calif. (AP) The Latest on planned power outages to prevent California wildfires (all times local):
8:25 a.m.
A wildfire burning in Northern California's wine country increased in size overnight but fire crews have kept pace containing the flames… [+2842 chars]",2019-10-29,https://finance.yahoo.com/news/latest-california-utility-begins-phase-143251715.html,https://s.yimg.com/uu/api/res/1.2/AhKsrgww6Qd2mosG5DYw4A--~B/aD0xOTMwO3c9Mjk1MztzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/364a105b0e50b5f9be73761e27e77184
Kincade fire in Sonoma County via satellite imagery,Nathan Yau,Flowingdata.com,"You can see the time-lapsed imagery with this browser. [via @weatherdak]… Tags: satellite imagery, wildfire","Become a member.Learn to visualize data.
From beginner to advanced.
What you get",2019-10-28,https://flowingdata.com/2019/10/28/kincade-fire-in-sonoma-county-via-satellite-imagery/,https://i1.wp.com/flowingdata.com/wp-content/uploads/2019/10/fire-from-above.gif?fit=1200%2C783&ssl=1
Thousands ordered to flee California wine country blaze,By Alex Dobuzinskis,Yahoo.com,"California firefighters raced against time on Saturday as they cut defensive lines against a wildfire in Sonoma County's famed wine country and authorities ordered 50,000 people to evacuate, ahead of winds that are forecast to pick up at night and spread the …","By Alex Dobuzinskis
LOS ANGELES (Reuters) - California firefighters raced against time on Saturday as they cut defensive lines against a wildfire in Sonoma County's famed wine country and authorities ordered 50,000 people to evacuate, ahead of winds that are… [+5137 chars]",2019-10-26,https://news.yahoo.com/bracing-winds-authorities-order-thousands-191337299.html,https://s.yimg.com/ny/api/res/1.2/sZqrYQz0j0Jyy0yV2k7pwA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD03MjEuNg--/https://s.yimg.com/uu/api/res/1.2/iqY.rQNIDIm3ZV5.MFiJvg--~B/aD00NTE7dz04MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-US/reuters.com/593d02aac0f2293b6c07b93a5a058f9a
"California fires see 200,000 evacuated while 3 million may lose power",Michael Le Page,New Scientist,"For the third year in a row an enormous wildfire is destroying homes and properties in California, with smaller fires raging elsewhere in the state","By Michael Le Page
The Kincade Fire in Healdsburg, California
PHILIP PACHECO/AFP/Getty
Nearly 200,000 people have been ordered to evacuate part of California near San Francisco as hurricane-force winds fan a large wildfire that began on 23 October. Meanwhi… [+1874 chars]",2019-10-28,https://www.newscientist.com/article/2221296-california-fires-see-200000-evacuated-while-3-million-may-lose-power/,https://images.newscientist.com/wp-content/uploads/2019/10/28112318/gettyimages-1178415582.jpg
"California declares state of emergency over wildfires, winds - CTV News",Terence Chea and Don Thompson,Ctvnews.ca,"California's governor declared a statewide emergency Sunday after officials ordered nearly 200,000 people to leave their homes as hurricane-force winds drove multiple wildfires through bone-dry vegetation.","SANTA ROSA, Calif. -- California's governor declared a statewide emergency Sunday after officials ordered nearly 200,000 people to leave their homes as hurricane-force winds drove multiple wildfires through bone-dry vegetation. Meanwhile, the state's largest … [+7006 chars]",2019-10-27,https://www.ctvnews.ca/world/california-declares-state-of-emergency-over-wildfires-winds-1.4657603,https://www.ctvnews.ca/polopoly_fs/1.4657612.1572192017!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg
'When I smelled that smoke... here we go again': Weary Californians seek shelter amid latest wildfire outbreak,"USA TODAY, Marco della Cava, USA TODAY",USA Today,"Chased from their homes by the Kincade Fire, California evacuees take refuge at Veterans Memorial Auditorium in Santa Rosa, other Red Cross shelters.","Fire crews in Northern California are working to smother wildfires using aircraft to drop water and fire retardant before windstorms return to the area. About 156,000 people were under mandatory evacuation orders. (Oct. 29)
 AP, AP
SANTA ROSA, Calif. Built … [+8797 chars]",2019-10-30,https://www.usatoday.com/story/news/nation/2019/10/29/kincade-fire-california-wildfire-evacuees-angry-and-thankful/2502227001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/10/30/USAT/a09c794d-1260-4ebd-940e-6f66e77dee94-Puppies.jpg?crop=1820,1024,x0,y136&width=1600&height=800&fit=bounds"
Worst performing circuits mapped with fire risk,Nathan Yau,Flowingdata.com,This month PG&E has been shutting down power to thousands of households in northern California because of high winds and wildfire risk. A lot of electrical equipment in the area is dated and in…,"The Warriors’ Championship Path
As expected, this time, the Golden State Warriors won the …",2019-10-29,https://flowingdata.com/2019/10/29/worst-performing-circuits-mapped-with-fire-risk/,https://i1.wp.com/flowingdata.com/wp-content/uploads/2019/10/Fire-risk-and-bad-circuits.png?fit=1200%2C804&ssl=1
Firefighters Brace For 'Critical 24-Hour Window' As Winds Pick Up In California,Colin Dwyer,Npr.org,"The Kincade fire has burned over 75,000 acres in Northern California, while another blaze is 5 percent contained in Los Angeles. Gusty conditions will make the job even tougher for firefighters.","A fallen utility pole operated by Pacific Gas and Electric rests Monday on a burned-out property in Healdsburg, Calif. The community was just one of many in Sonoma County affected by the Kincade fire, which has swelled to a size larger than San Francisco.
Ph… [+3814 chars]",2019-10-29,https://www.npr.org/2019/10/29/774355965/firefighters-brace-for-critical-24-hour-window-as-winds-pick-up-in-california,https://media.npr.org/assets/img/2019/10/29/gettyimages-1178671610_wide-b8afa78484f15e2da0ba450ca5c36e118b6ddf90.jpg?s=1400
LeBron James and Arnold Schwarzenegger are among thousands of LA residents fleeing a fire near the Getty museum. Here are the latest updates.,Morgan McFall-Johnsen,Insider.com,"LeBron James and Arnold Schwarzenegger are among thousands of Los Angeles residents evacuating their homes due to a fire near the Getty Center. The fire broke out early Monday morning and has spread to over 500 acres. At least five homes have burned, and 10,0…","A fire that broke out near the Getty Center around 1:30 a.m. Monday morning has spread across more than 500 acres in Los Angeles.
The blaze, called the Getty Fire, has forced thousands to flee their homes, including LeBron James and Arnold Schwarzenegger.
T… [+4361 chars]",2019-10-28,https://www.insider.com/los-angeles-getty-fire-evacuations-updates-2019-10,https://image.businessinsider.com/5db73c48695b5801fc147abc?width=1200&format=jpeg
UPDATE 5-Thousands told to evacuate as Los Angeles wildfire spreads to more than 500 acres,By Lisa Richwine,Yahoo.com,"Wind-whipped flames chased thousands of residents from some of Los Angeles' wealthiest neighborhoods and threatened the famed Getty Center museum on Monday, the latest outbreak in a wildfire season that has triggered mass evacuations and power outages across …","(Adds comments from governor, updates throughout)
By Lisa Richwine
LOS ANGELES, Oct 28 (Reuters) - Wind-whipped flames chased thousands of residents from wealthy Los Angeles neighborhoods and threatened the city's famed Getty Center museum on Monday, the la… [+5137 chars]",2019-10-28,https://news.yahoo.com/1-firefighters-brief-respite-winds-120757838.html,https://s.yimg.com/cv/apiv2/social/images/yahoo_default_logo-1200x1200.png
Satellites Track California's Devastating Kincade Wildfire from Space,Meghan Bartels,Space.com,California residents spent an anxious weekend tracking the path of a wildfire through Sonoma County north of San Francisco Bay — and satellites have been watching along with locals.,"California residents spent an anxious weekend tracking the path of a wildfire through Sonoma County north of San Francisco Bay — and satellites have been watching along with locals
.
According to the California Department of Forestry and Fire Protection, th… [+1468 chars]",2019-10-28,https://www.space.com/california-kincade-wildfire-from-space.html,https://cdn.mos.cms.futurecdn.net/AhfxGHp8zAZWNMzmNRfvVk-1200-80.jpg
California blaze forces evacuations as wind spurs blackouts,DAISY NGUYEN and CHRISTOPHER WEBER,Yahoo.com,"A Northern California blaze forced evacuation orders and warnings for nearly all of Sonoma County stretching to the coast, with forecasts of strong winds prompting officials to begin cutting electricity for millions of people in an effort to prevent more fire…","SAN FRANCISCO (AP) A Northern California blaze forced evacuation orders and warnings for nearly all of Sonoma County stretching to the coast, with forecasts of strong winds prompting officials to begin cutting electricity for millions of people in an effort t… [+6556 chars]",2019-10-27,https://news.yahoo.com/california-blaze-forces-evacuations-wind-052821426.html,https://s.yimg.com/ny/api/res/1.2/GAQcu7jEH.jOCEfOYH2YDw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/wQjjv0VaC0iQN8w0nZFjhA--~B/aD0yMDQyO3c9MzA2MjtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/1afca07e67a810434ef3ce77954f3e2c
Woman dies after being struck by debris from gender reveal explosion,"Detroit Free Press, Andrea May Sahouri, Detroit Free Press",USA Today,A woman died in Marion County on Saturday from an explosion at a gender reveal announcement.,"DES MOINES - Police said a gender reveal announcement that resulted in an explosion left one Iowa woman dead on Saturday.
At about 4:03 p.m., police responded to a report that a 56-year-old woman had been severely injured in an explosion, according to a news… [+1004 chars]",2019-10-27,https://www.usatoday.com/story/news/nation/2019/10/27/woman-dies-after-being-struck-debris-gender-reveal-explosion/2480944001/?utm_source=google&utm_medium=amp&utm_campaign=speakable,"https://www.gannett-cdn.com/presto/2019/10/21/USAT/6c212dcd-2689-4a66-b4c1-886165f16d43-GettyImages-474030870.jpg?crop=1530,861,x99,y552&width=3200&height=1680&fit=bounds"
"Dangerous Winds Expected To Worsen California Blaze, Forcing Mass Evacuations",AP,Huffpost.com,"About 90,000 residents have been ordered to evacuate and more than 2 million are expected to lose power.","SAN FRANCISCO (AP) A Northern California blaze forced evacuation orders and warnings for nearly all of Sonoma County stretching to the coast, with forecasts of strong winds prompting officials to start cutting electricity for millions of people in an effort t… [+7212 chars]",2019-10-27,https://www.huffpost.com/entry/california-fire-evacuations-power-outage-2019_n_5db54d55e4b05df62ec08980,https://img.huffingtonpost.com/asset/5db557552100005d31ad3ff7.jpeg?cache=ucugxx6eon&ops=1778_1000
Apple Donating to Wildfire Relief Efforts in California,Juli Clover,Macrumors.com,"Apple is planning to make a donation to help wildfire relief efforts in the state of California, Apple CEO Tim Cook announced on Twitter this morning. It is fire season in California right now, and Sonoma County in Northern California is currently facing the …","Apple is planning to make a donation to help wildfire relief efforts in the state of California, Apple CEO Tim Cookannounced on Twitter this morning.
It is fire season in California right now, and Sonoma County in Northern California is currently facing the … [+1269 chars]",2019-10-28,https://www.macrumors.com/2019/10/28/apple-wildfire-relief-donation-california/,https://cdn.macrumors.com/article-new/2019/10/kincadefire.jpg?retina
California's governor declares statewide emergency as Kincade Fire continues to rip through Northern California alongside hurricane-force wind gusts of 78 mph,Rosie Perper,Insider.com,"California Governor Gavin Newsom on Sunday declared a statewide emergency as Sonoma County, located north of San Francisco, continued to battle the massive Kincade Fire. As of Sunday night, the blaze had ripped through over 54,000 acres of land. Pacific Gas &…","Firefighters battle the Kincade Fire along Chalk Hill Road in Healdsburg, California on October 27, 2019.
PHILIP PACHECO/AFP via Getty Images
California Governor Gavin Newsom on Sunday declared a statewide emergency as Sonoma County, located north of San Fr… [+2601 chars]",2019-10-28,https://www.insider.com/kincade-fire-updates-california-winds-damage-photos-2019-10,https://image.businessinsider.com/5db6831f695b584f6d75d595?width=1200&format=jpeg
"Raging Los Angeles wildfire destroys homes, prompts evacuations",Al Jazeera,Al Jazeera English,California governor declares state of emergency as multiple wildfires rage across the state.,"A fire in Los Angeles has forced thousands to flee their home, the most recent blaze to spark in the US state of California, where firefighters are battling over a dozen wildfires, including a mass inferno in a region known for its wine. 
The fast-moving bru… [+4373 chars]",2019-10-28,https://www.aljazeera.com/news/2019/10/raging-los-angeles-wildfire-destroys-homes-prompts-evacuations-191028161111011.html,https://www.aljazeera.com/mritems/Images/2019/10/28/737946633faa421e85ee202149139e4f_18.jpg
"Kincade Fire forces evacuation of nearly 200,000, the largest in Sonoma County history - The Washington Post","Kim Bellware, Andrew Freedman",The Washington Post,"Kincade Fire forces evacuation of nearly 200,000, the largest in Sonoma County history The Washington Post Hospital Evacuated as Northern California Kincade Fire Spreads; Human Remains Found in S. California Burn Area The Weather Channel Editorial: Wildfires,…","California Gov. Gavin Newsom (D) has declared a statewide emergency as fires rage on both ends of the state. The Kincade Fire had already burned more than 54,000 acres roughly the size of Baltimore as of Sunday night, according to Cal Fire, which said just th… [+3573 chars]",2019-10-28,https://www.washingtonpost.com/nation/2019/10/28/kincade-fire-evacuation-map-expands-sonoma-county/,https://www.washingtonpost.com/resizer/Ze0PAAR8hs12MOLkhNrJBzrKSmY=/1440x0/smart/d1i4t8bqe7zgj6.cloudfront.net/10-27-2019/t_ce850e6d7985467ba400c2ecd9fba33a_name_fire.jpg
California wildfires: New evacuations amid warning over strong winds,https://www.facebook.com/bbcnews,BBC News,Thousands of residents are ordered to leave as extremely strong winds could spread the fires.,"Image copyrightEPAImage caption
 Firefighters (in yellow) and inmates (in orange) put out the embers of the Tick Fire
New evacuations have been ordered in California as officials warn wildfires could spread because of extremely strong winds.
Some 50,000 re… [+2810 chars]",2019-10-26,https://www.bbc.co.uk/news/world-us-canada-50196185,https://ichef.bbci.co.uk/news/1024/branded_news/59BB/production/_109417922_266b0c44-9a5d-4ab3-9662-e2385182d2d6.jpg
California fires: New blazes erupt in Los Angeles,https://www.facebook.com/bbcnews,BBC News,Thousands of people flee their homes as a fast-moving fire threatens some of Los Angeles' wealthiest areas.,"Media captionWith wildfires occurring across the globe, here are some of the techniques used to stop them
Thousands of Los Angeles residents have been told to evacuate because of a fast-moving wildfire that began in the early hours of Monday morning.
The Ge… [+3451 chars]",2019-10-28,https://www.bbc.co.uk/news/world-us-canada-50212582,https://ichef.bbci.co.uk/images/ic/1024x576/p06gt559.jpg
Farmworkers face health risks in California wildfires,Anna Maria Barry-Jester | KAISER HEALTH NEWS,ABC News,"Get breaking national and world news, broadcast video coverage, and exclusive interviews. Find the top news online at ABC news.","This is a Kaiser Health News story.
Interested in Wildfires?
Add Wildfires as an interest to stay up to date on the latest Wildfires news, video, and analysis from ABC News.
Over the hill just behind them, firetrucks and first responders raced back and for… [+7508 chars]",2019-10-28,https://abcnews.go.com/Health/california-wildfires-threaten-farmworkers-health-wages-housing/story?id=66581797,https://s.abcnews.com/images/Health/kaiser-health-wildfire-01-ht-jef-191028_hpMain_16x9_992.jpg
"California Blackouts Hit Cellphone Service, Fraying a Lifeline",Carol Pogash and Brian X. Chen,The New York Times,"As power is cut to reduce the wildfire risk from electrical wires and towers, a primary source of emergency communication is put in jeopardy.","There are limits to what carriers can do when the blackout is accompanied by wildfire. Some generators are inaccessible because of the fires and cant be refueled. In other cases, sites lack generators because of zoning restrictions.
In 2007, after Hurricane … [+1675 chars]",2019-10-28,https://www.nytimes.com/2019/10/28/business/energy-environment/california-cellular-blackout.html,https://static01.nyt.com/images/2019/10/28/business/28cellular1/28cellular1-facebookJumbo.jpg
Powerful winds fan flames as 'historic' California blaze spreads,Philip Pacheco,Phys.org,"Powerful winds fanned Calfornia's biggest wildfire Sunday, threatening the city of Santa Rosa and forcing the evacuation of tens of thousands of people.","Powerful winds fanned Calfornia's biggest wildfire Sunday, threatening the city of Santa Rosa and forcing the evacuation of tens of thousands of people.
The Kincade Fire, north of San Francisco, spread to 30,000 acres (12,000 hectares); only 10 percent of it… [+4489 chars]",2019-10-27,https://phys.org/news/2019-10-powerful-fan-flames-historic-california.html,https://scx2.b-cdn.net/gfx/news/2019/thesodarockw.jpg
Evacuations as wildfire breaks out in Los Angeles,Jocelyne Zablit,Phys.org,"A wildfire broke out early Monday near the renowned Getty Center in Los Angeles, forcing widespread evacuations as the flames destroyed several homes in hillside communities.","A wildfire broke out early Monday near the renowned Getty Center in Los Angeles, forcing widespread evacuations as the flames destroyed several homes in hillside communities.
The so-called Getty Fire broke out overnight near a major freeway and quickly sprea… [+4665 chars]",2019-10-28,https://phys.org/news/2019-10-evacuations-wildfire-los-angeles.html,https://scx2.b-cdn.net/gfx/news/2019/17-firefighters.jpg
Firefighters race to control blazes before winds roar back,STEFANIE DAZIO and BRIAN MELLEY,Yahoo.com,"Howling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gusts in years from…","LOS ANGELES (AP) Howling winds that fueled destructive wildfires across California began to die down Friday, but residents in the northern part of the state braced for another round of power outages aimed at preventing what are expected to be the strongest gu… [+4778 chars]",2019-10-26,https://news.yahoo.com/firefighters-race-control-blazes-winds-224758321.html,https://s.yimg.com/ny/api/res/1.2/QNtZlVjovovMAN_TpAhLCA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/D7G965UtuGmCf2e9g87o7g--~B/aD0zMTk4O3c9NDc5ODtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/6d997adf7772a16caba96a5459fe6c4c
The dangers – physical and psychological – of gender reveal parties,https://www.facebook.com/bbcnews,BBC News,A woman's death at a gender reveal party has prompted wider questions about the trend.,"Image copyrightParty DelightsImage caption
 Party retailers have reported a huge sales increase in gender reveal merchandise
On Saturday, a woman died at a gender reveal party - a celebration announcing whether expectant parents will be having a boy or girl… [+6475 chars]",2019-10-30,https://www.bbc.co.uk/news/world-us-canada-50207452,https://ichef.bbci.co.uk/news/1024/branded_news/7502/production/_109445992_genderreveal.jpg
"NewsWatch: Microsoft wins Pentagon’s $10 billion JEDI cloud contract, beating Amazon",MarketWatch,Marketwatch.com,"With its stunning win of a lucrative $10 billion Pentagon technology contract Friday, Microsoft Corp. not only beat Amazon.com Inc. but uprooted its larger rival as the federal government’s go-to cloud-computing vendor.","With its stunning win of a lucrative $10 billion Pentagon technology contract Friday, Microsoft Corp. not only beat Amazon.com Inc. but uprooted its larger rival as the federal governments go-to cloud-computing vendor. See full story.
Three things to watch w… [+1045 chars]",2019-10-26,https://www.marketwatch.com/story/microsoft-wins-pentagons-10-billion-jedi-cloud-contract-beating-amazon-2019-10-26,https://mw3.wsj.net/mw5/content/logos/mw_logo_social.png
California Wineries Shut as Wildfire Tears Through Sonoma County,,Bloomberg,,,2019-10-26,https://www.bloomberg.com/news/articles/2019-10-26/california-wineries-shut-as-wildfire-tears-through-sonoma-county,
In Pictures: Millions without power as California wildfires rage,Al Jazeera,Al Jazeera English,"About 180,000 residents asked to evacuate their homes and power cut for 2.3 million people, as authorities battle blaze.","Authorities in northern California ordered 180,000 residents to evacuate their homes on Sunday as winds fueled a wildfire in the wine country, while electricity was shut off for millions of people in an effort to prevent more fires.
The fear that the winds c… [+944 chars]",2019-10-27,https://www.aljazeera.com/indepth/inpictures/pictures-millions-power-california-wildfires-rage-191027165119004.html,https://www.aljazeera.com/mritems/Images/2019/10/27/afd541f4f49b4e47a07c880b4aba08e2_18.jpg
Inside the ‘Potentially Historic’ Wind Event Bearing Down on California,Tarpley Hitt,Yahoo.com,"JOSH EDELSONMiles above the Grand Basin, configurations of cool, high-pressure air have pushed dangerous gusts towards the California coast, triggering red flag weather warnings, mass power shutoffs, several wildfires, and thousands of evacuations from San Fr…","JOSH EDELSON
Miles above the Grand Basin, configurations of cool, high-pressure air have pushed dangerous gusts towards the California coast, triggering red flag weather warnings, mass power shutoffs, several wildfires, and thousands of evacuations from San … [+6886 chars]",2019-10-26,https://news.yahoo.com/inside-potentially-historic-wind-event-202739904.html,https://s.yimg.com/ny/api/res/1.2/2LCUCs_F_ZinokIan0CC.A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD03MTkuODYzMjQ3ODYzMjQ3OA--/https://s.yimg.com/uu/api/res/1.2/ui5wXMGFo57oPINENs9_Ug--~B/aD02NTg7dz0xMTcwO3NtPTE7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en-US/thedailybeast.com/1e5f73c32182e26c77a66432dd6c50c2
Utility says power lines may have started 2 California fires,Associated Press,Yahoo.com,Pacific Gas & Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area. The fires described in PG&E reports to state regulators match blazes that destroyed a tennis club and forced urgent evacuatio…,"SAN FRANCISCO (AP) Pacific Gas &amp; Electric Co. said Monday its power lines may have started two wildfires over the weekend in the San Francisco Bay Area.
The fires described in PG&amp;E reports to state regulators match blazes that destroyed a tennis club… [+1002 chars]",2019-10-28,https://news.yahoo.com/utility-says-power-lines-may-182508140.html,https://s.yimg.com/ny/api/res/1.2/WyNHIFxTcrPlLiWC1C6BGg--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyODA7aD04NTMuMzMzMzMzMzMzMzMzNA--/https://s.yimg.com/uu/api/res/1.2/K8qHT6C_jy.ntEhbrwgPWQ--~B/aD0xMzUwO3c9MjAyNTtzbT0xO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/ap.org/f84961b6b8afafba249444a817da6ec3
Tuesday assorted links,Tyler Cowen,Marginalrevolution.com,"1. Andrew Roberts on Napoleon. 2. Greg Mankiw quits the Republican Party. 3. Has there been a Trump deregulation? 4. Bryan Caplan on his new graphic novel with Zack Weinersmith, Open Borders. 5. Does wildfire mitigation work? 6. Good Ted Nordhaus thread on th…","2.""Maybe someday, the party will return to having honorable leaders like Bush, McCain, and Romney. Until then, count me out."" 
Yeaaahhh... Okay",2019-10-29,https://marginalrevolution.com/marginalrevolution/2019/10/tuesday-assorted-links-236.html,https://marginalrevolution.com/wp-content/uploads/2016/10/MR-logo-thumbnail.png
